"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.771250008E-4	6.225872567E-1	-1.612220612E-1	5.757227004E-1	8.631709408E-1
1.017112500E-2	1.294682358E-1	-2.845635206E-2	1.965056223E-1	2.370363847E-1
2.016512500E-2	-1.865566762E-1	-2.465007779E-1	-2.041262984E-1	3.704504996E-1
3.015912500E-2	7.835314656E-3	-1.531678140E-1	-3.621858931E-1	3.933197078E-1
4.015412500E-2	1.084462530E-1	-2.445342131E-2	-2.282682824E-1	2.538995242E-1
5.014812500E-2	2.691648781E-2	-4.844973654E-2	-1.750574505E-1	1.836218540E-1
6.014212500E-2	3.042795095E-2	-2.006493978E-2	-2.981705761E-1	3.003900039E-1
7.013612500E-2	3.394502375E-2	-3.773639493E-2	-4.610494459E-1	4.638349832E-1
8.013012500E-2	-2.501632545E-2	-1.097960919E-1	-3.768735141E-1	3.933378242E-1
9.012512500E-2	-5.868262888E-2	-1.626017848E-1	-1.457354182E-1	2.261013124E-1
1.001191250E-1	-6.104348788E-2	-2.365110292E-1	1.137558264E-1	2.694515956E-1
1.101131250E-1	-6.262803764E-2	-2.729040264E-1	2.755921376E-1	3.928739047E-1
1.201071250E-1	-1.586284556E-1	-2.673380618E-1	3.166957247E-1	4.437666146E-1
1.301011250E-1	-1.748314008E-1	-1.631848253E-1	1.631800014E-1	2.895220523E-1
1.400961250E-1	-2.360358150E-1	-1.103070655E-1	-5.140462697E-2	2.655616508E-1
1.500901250E-1	-3.124321543E-1	-1.076233397E-1	-1.943111622E-1	3.833450953E-1
1.600841250E-1	-2.779627450E-1	-6.532180421E-2	-2.322022891E-1	3.680327822E-1
1.700781250E-1	-2.356488756E-1	-2.990916587E-2	-1.384123653E-1	2.749235050E-1
1.800731250E-1	-1.270410566E-1	-4.966975808E-2	2.219836950E-2	1.382001539E-1
1.900671250E-1	-6.194492754E-2	-2.591909900E-2	1.827354294E-1	1.946823333E-1
2.000611250E-1	-3.678812273E-2	3.509272255E-2	3.153701609E-1	3.194420191E-1
2.100551250E-1	-2.391908630E-2	5.280159988E-2	3.717355657E-1	3.762279394E-1
2.200501250E-1	-1.782425020E-2	1.237446249E-1	3.455780464E-1	3.674977854E-1
2.300441250E-1	-5.930948694E-2	2.012248369E-1	2.870901024E-1	3.555696516E-1
2.400381250E-1	-5.104786458E-2	2.321883289E-1	2.541147298E-1	3.479821841E-1
2.500321250E-1	-3.082173351E-2	2.083248185E-1	2.776170284E-1	3.484543352E-1
2.600261250E-1	-2.092004939E-2	1.217384452E-1	2.913211477E-1	3.164267823E-1
2.700211250E-1	-6.459592720E-3	8.284240119E-2	2.727521449E-1	2.851286067E-1
2.800151250E-1	1.939970937E-2	4.353471324E-3	1.604201156E-1	1.616475021E-1
2.900091250E-1	4.484357592E-2	-9.450759642E-2	1.754340112E-2	1.060679169E-1
3.000031250E-1	4.360961242E-2	-1.665165688E-1	-9.094583809E-2	1.946810506E-1
3.099981250E-1	7.574495947E-2	-3.299012227E-1	-9.509151399E-2	3.515885545E-1
3.199921250E-1	1.126255596E-1	-4.426980326E-1	-1.322435528E-1	4.755569598E-1
3.299861250E-1	1.258391523E-1	-5.494909215E-1	-1.649458605E-1	5.873524512E-1
3.399801250E-1	1.301872698E-1	-6.150766544E-1	-2.713371187E-1	6.847567802E-1
3.499741250E-1	1.482715566E-1	-7.271477517E-1	-3.901636505E-1	8.384247024E-1
3.599691250E-1	2.286751573E-1	-8.640782864E-1	-3.702772701E-1	9.674858497E-1
3.699631250E-1	2.614904624E-1	-9.981587420E-1	-2.596157902E-1	1.064001172E0
3.799571250E-1	4.150733739E-1	-1.110462047E0	-1.200901151E-1	1.191567665E0
3.899511250E-1	4.695776830E-1	-1.235581279E0	-1.656457722E-2	1.321907214E0
3.999461250E-1	4.075847352E-1	-1.354281803E0	-1.141376495E-3	1.414286330E0
4.099401250E-1	4.287631310E-1	-1.324458665E0	-5.346869409E-2	1.393157377E0
4.199341250E-1	4.588133975E-1	-1.100060947E0	-1.032782006E-1	1.196373774E0
4.299281250E-1	4.617662414E-1	-9.441982240E-1	-1.061556154E-1	1.056412496E0
4.399231250E-1	4.423533027E-1	-8.734886491E-1	-1.944971037E-1	9.982424495E-1
4.499171250E-1	4.447712360E-1	-8.822017314E-1	-3.266389149E-1	1.040574038E0
4.599111250E-1	5.581317541E-1	-1.004830488E0	-4.397878003E-1	1.230694387E0
4.699051250E-1	5.395053755E-1	-1.275635876E0	-5.566946912E-1	1.492722987E0
4.798991250E-1	6.041734245E-1	-1.547077806E0	-6.405946344E-1	1.780122678E0
4.898941250E-1	5.837545820E-1	-1.849746499E0	-6.493216038E-1	2.045470622E0
4.998881250E-1	5.484647352E-1	-1.906947617E0	-5.220189482E-1	2.051771567E0
5.098821250E-1	6.417511406E-1	-1.642326756E0	-4.064890766E-1	1.809506858E0
5.198761250E-1	9.462772746E-1	-1.329553051E0	-3.760291761E-1	1.674679055E0
5.298711250E-1	1.168479875E0	-1.329177806E0	-1.301859176E-1	1.774544232E0
5.398651250E-1	1.051776394E0	-1.502607830E0	3.936386508E-1	1.875903852E0
5.498591250E-1	1.041504590E0	-1.407577712E0	8.818957758E-1	1.960547624E0
5.598531250E-1	1.196087138E0	-9.816196002E-1	1.039692830E0	1.864178817E0
5.698481250E-1	1.143713043E0	-4.502391867E-1	8.496706009E-1	1.494233911E0
5.798421250E-1	9.284752804E-1	5.479637749E-2	4.903966212E-1	1.051455104E0
5.898361250E-1	7.534418035E-1	4.463071534E-1	7.907189727E-2	8.792707156E-1
5.998301250E-1	5.051889439E-1	6.902595685E-1	-2.608454597E-1	8.942675745E-1
6.098251250E-1	3.750337973E-1	8.309132447E-1	-3.767723572E-1	9.864200822E-1
6.198191250E-1	2.129440824E-1	9.205883367E-1	-3.459119225E-1	1.006222205E0
6.298131250E-1	2.141731305E-1	9.742811253E-1	-1.846258342E-1	1.014485357E0
6.398071250E-1	3.295380010E-1	9.516571516E-1	4.028322279E-2	1.007903451E0
6.498021250E-1	2.391077412E-1	8.436563741E-1	2.924765575E-1	9.243760740E-1
6.597961250E-1	2.078885797E-1	8.151525865E-1	5.101654726E-1	9.838496889E-1
6.697901250E-1	3.232431445E-1	9.036840362E-1	6.349637657E-1	1.150786666E0
6.797841250E-1	3.772961947E-1	8.771509065E-1	8.434053093E-1	1.274001039E0
6.897791250E-1	5.248728280E-1	7.405045465E-1	1.080011721E0	1.410767092E0
6.997731250E-1	5.958256105E-1	3.940546071E-1	1.171351077E0	1.371987805E0
7.097671250E-1	4.336351042E-1	-3.678998653E-2	1.039623249E0	1.127035672E0
7.197611250E-1	4.057272210E-1	-3.099770912E-1	7.148992968E-1	8.785108875E-1
7.297561250E-1	5.858070277E-1	-4.805148999E-1	2.771258622E-1	8.067609226E-1
7.397501250E-1	4.430427991E-1	-6.582834850E-1	-1.117455536E-1	8.013183744E-1
7.497441250E-1	4.281625854E-1	-7.393152228E-1	-3.506961143E-1	9.235247494E-1
7.597381250E-1	5.744073692E-1	-5.649552355E-1	-2.973385173E-1	8.587947588E-1
7.697331250E-1	8.540383979E-1	-3.471662598E-1	2.001127696E-1	9.433722052E-1
7.797271250E-1	1.121278226E0	-1.541423256E-1	6.797844279E-1	1.320277087E0
7.897211250E-1	1.512212467E0	5.146616891E-2	9.196541709E-1	1.770649346E0
7.997151250E-1	1.619190493E0	-3.658822104E-2	1.043560764E0	1.926690328E0
8.097101250E-1	1.474726260E0	-2.552716014E-1	8.803316456E-1	1.736365439E0
8.197041250E-1	1.169838987E0	2.243588158E-1	4.275717974E-1	1.265574089E0
8.296981250E-1	1.209705523E0	3.539419403E-1	6.515821373E-1	1.418880414E0
8.396921250E-1	1.297710577E0	5.557074985E-1	7.857657963E-1	1.615639642E0
8.496871250E-1	1.067147481E0	9.541326434E-1	3.720162320E-1	1.479043247E0
8.596811250E-1	6.924107592E-1	1.257473985E0	-2.931922567E-1	1.465139987E0
8.696751250E-1	4.759529022E-1	1.500259589E0	-9.832613522E-1	1.855832127E0
8.796691250E-1	1.119677478E-1	1.784805568E0	-1.371166808E0	2.253478668E0
8.896641250E-1	-9.556857370E-2	1.983796110E0	-1.382931406E0	2.420140416E0
8.996581250E-1	-1.615899242E-1	2.024565383E0	-1.150033298E0	2.333999332E0
9.096521250E-1	-2.709358536E-1	1.873291190E0	-7.071599221E-1	2.020569542E0
9.196461250E-1	-3.795622100E-1	1.806504731E0	-3.399658889E-1	1.876993239E0
9.296411250E-1	-4.074435615E-1	1.746266131E0	-1.713830602E-1	1.801340559E0
9.396351250E-1	-5.295018493E-1	1.714531830E0	-1.857555163E-1	1.804022371E0
9.496291250E-1	-6.023207342E-1	1.840299737E0	-3.415282649E-1	1.966248953E0
9.596231250E-1	-6.768587735E-1	1.953892719E0	-6.367237777E-1	2.163620051E0
9.696181250E-1	-8.814231015E-1	1.909792433E0	-9.306843585E-1	2.300084172E0
9.796121250E-1	-1.033883256E0	1.811195075E0	-1.051753297E0	2.335706999E0
9.896061250E-1	-1.052779630E0	1.599120218E0	-7.268527597E-1	2.047888023E0
9.996001250E-1	-1.202054368E0	1.272085739E0	-1.841434389E-1	1.759842503E0
1.009595125E0	-1.244308979E0	1.169111009E0	9.816364110E-2	1.710193406E0
1.019589125E0	-1.147502185E0	1.295263225E0	-2.471033335E-3	1.730454909E0
1.029583125E0	-1.197333472E0	1.467290063E0	-1.541793823E-1	1.900083907E0
1.039578125E0	-1.267621974E0	1.545172637E0	-2.692227656E-1	2.016656849E0
1.049572125E0	-1.325582353E0	1.586875856E0	-2.804751474E-1	2.086626432E0
1.059566125E0	-1.355011097E0	1.553945507E0	-2.290570718E-1	2.074432176E0
1.069560125E0	-1.441434260E0	1.358080155E0	-2.917743069E-1	2.001810850E0
1.079555125E0	-1.548357030E0	1.125971786E0	-4.233927923E-1	1.960735427E0
1.089549125E0	-1.461221384E0	1.033927403E0	-5.406692272E-1	1.869892249E0
1.099543125E0	-1.390024956E0	8.975761078E-1	-4.459086657E-1	1.713664723E0
1.109537125E0	-1.293128406E0	6.533389333E-1	9.161885262E-2	1.451697920E0
